,Unnamed: 0,comment
326,326,🎉 congrats kak tasyiiii we made itttt🎉🎉🎉🎉🎉
327,327,YANG PALING AKU TUNGGUIN!!!!😍
328,328,We made it
329,329,ada yg tau ig bychikeik? mau mampir
330,330,"Yeayy kak, trending 1."
331,331,We made it trending 1 🎉❤
332,332,Studio coklat udah pernah direview kak tasyi kan ya yang makanan viral ituu
333,333,We made it ka tasyiiiiii 🎉🎉🎉❤❤❤
334,334,Kakk coklat dubainya Becca bakehouse jga enak loh tolong di review dooong
335,335,MasyaAllah Tasyi...... Tabarakallah. Ntah apa aku aja disini yg nangis haru gara2 Tasyi trending 1. Ya Allah masyaAllah.... Selamat
336,336,PLISS KASIH TAU AKU GIMANA CARA BELINYAA GA NGERTII 😭
337,337,Food blogger tebaik dan terjujur🎉🎉
338,338,We made it kak tasyiiiiii
339,339,Becca's punya dong
340,340,Kiw trending 1
341,341,We made it....🎉❤
342,342,Sukses selalu kk tasyi
343,343,Battle nugget dong kaaaak
344,344,Selamat kak tasyi..
345,345,"Trending kak Tasyi, no 1 🥳🎉"
346,346,"Kataifi adalah bahan utama dalam pembuatan kunafa 
Kunafa adalah nama hidangan penutup dari timur tengah 
Jadi selama ini salah bilang isinya coklat Dubai adalah kunafa yg bener kata kak tasyi ini kataifi atau adonan pastry yg diiris tipis seperti bentuk bihun"
347,347,number one #1 kak tasyi terrrterr pokoknya mah
348,348,we made it❤
349,349,"Kak tasyi mah chef sih
Bukan lg home cooking queen
Angkat tangan
Keren banget lidahnya
Plg jenius dari semua yg aku kenal
Tetep humble ya kk"
350,350,🎉🎉🎉🎉 we made it ❤ selamat trending 1 kak tasyi di tengah2 perbolaan yg panas 😊😊
351,351,"sebenarnya aku ga suka makan coklat2an, cuma seneng aja liat battle makanan nya ka tasyi wwkkwk"
352,352,trending satuuuu
353,353,Kak tasyi trending 1 😍
354,354,Yesssss congratss tasyiii
355,355,we made it❤️❤️❤️❤️
356,356,Di akhir sub nya ga singkron
357,357,wahhhh trending satuuu🎉🎉🎉🎉
358,358,donbake beneran enak bgt sih🤩
359,359,We Made it ❤
360,360,We Made it🎉🎉
361,361,We made it! Tranding 1 wuhuuuuu
362,362,Aaa selamat ka tasyii tranding 1…semangat teruss yaa bikin konten nya… teruslah berbuat baik… seneng banget ngeliat konten2 kaka… lopyuuu❤❤🎉🎉🎉🎉🎉
363,363,"yah becca’s ga masuk, dia juga bnyak yg review lebih enak dri donbakes"
364,364,trending no. 1 kakk
365,365,finally congrats ka tasyiiiii! you made it!🫶🏻✨
366,366,Battle makanan terbaik emang cma kk tasyi penilaiannya bener2 jujur dan jelas wajar jdi tranding 1
367,367,Battle mie mie rasa koreanan dong kak samyang atau sedap korean korean gitu biar dapet yang harganya affordable tapi enak
368,368,Alhamdulillah kak
369,369,trending 1🥺 WE MADE IT!!
370,370,trending 1 ciii
371,371,We made it guyss
372,372,seruuuuw bgt🤩
373,373,Tumben trending 1
374,374,we made it🩵
375,375,Moq bs sedetail itu sih k tasyi mantepp bgt🎉🎉🎉🎉
376,376,"Kak review merk keju mozarella dong, semua merk keju mozza kak"
